system,config,workload,payload_bytes,inflight,target_rate,achieved_rate,p50_ns,p99_ns,p99_9_ns,p99_99_ns,max_ns,count
uc,3node_consistent,kv,64,128,100,100.0,7450623,7979007,7995391,8003583,8003583,1001
uc,3node_consistent,kv,64,128,500,499.9,8929279,13754367,13787135,13787135,13787135,5001
uc,3node_consistent,kv,64,128,1000,999.5,5926911,12615679,12910591,13467647,13475839,10001
uc,3node_consistent,kv,64,128,2000,1998.9,7483391,13516799,14229503,14917631,14966783,20000
uc,3node_consistent,kv,64,128,5000,4997.2,7331839,13451263,14254079,14950399,15376383,50000
uc,3node_consistent,kv,64,128,10000,9679.1,160563199,321912831,326631423,327942143,328466431,96913
uc,3node_consistent,kv,64,128,20000,9663.0,2598371327,5129633791,5175771135,5179965439,5179965439,96729
